#westbank,score=1.95195360556393
#apprehension,score=1.95195360556393
#su4mh,score=1.95195360556393
threat,score=0.895900931314618
#ohmygod,score=0.895900931314618
doomsday,score=0.895900931314618
20%,score=0.895900931314618
usc,score=0.895900931314618
treasure,score=0.895900931314618
buried,score=0.895900931314618
murdered,score=0.893346651509521
upcoming,score=0.892562030049103
hairdresser,score=0.891081644878669
revealing,score=0.891081644878669
apartments,score=0.891081644878669
evaluation,score=0.891081644878669
reviewing,score=0.891081644878669
await,score=0.891081644878669
#curious,score=0.89004268374625
deepest,score=0.889059399497901
shitting,score=0.888432636707092
#soexcited,score=0.887242868571504
thurs,score=0.887242868571504
advent,score=0.88640217915671
aaah,score=0.884112975562576
danger,score=0.884112975562576
resident,score=0.884112975562576
operation,score=0.881512193862518
#pumped,score=0.880740291083937
ahhh,score=0.880590959343198
graduate,score=0.879728072069017
warped,score=0.879316803299083
mph,score=0.879316803299083
coaster,score=0.879316803299083
tourney,score=0.877438868474883
#traffic,score=0.877438868474883
minus,score=0.876871814306016
august,score=0.876598179060089
untill,score=0.875814172747881
#yikes,score=0.875814172747881
dental,score=0.873143944192002
crossed,score=0.873143944192002
countdown,score=0.872759402752924
nauseous,score=0.872033449907975
#of,score=0.872033449907975
calculator,score=0.871040893995223
dread,score=0.871040893995223
graduating,score=0.871040893995223
grocery,score=0.867327558870562
prepare,score=0.86624472173173
cope,score=0.861709566566339
arghhhh,score=0.853341316895822
thailand,score=0.853341316895822
#cannotwait,score=0.853341316895822
flown,score=0.853341316895822
patrol,score=0.853341316895822
meanings,score=0.853341316895822
commence,score=0.853341316895822
towns,score=0.853341316895822
wire,score=0.853341316895822
#prettylittleliars,score=0.853341316895822
haunted,score=0.853341316895822
sm,score=0.853341316895822
emptied,score=0.853341316895822
iu,score=0.853341316895822
trapped,score=0.853341316895822
opponent,score=0.853341316895822
sheer,score=0.853341316895822
md,score=0.853341316895822
ib,score=0.853341316895822
#fire,score=0.853341316895822
disappears,score=0.853341316895822
#job,score=0.853341316895822
rested,score=0.853341316895822
cramp,score=0.853341316895822
#midterms,score=0.853341316895822
interstate,score=0.853341316895822
tae,score=0.853341316895822
muh,score=0.853341316895822
venture,score=0.853341316895822
proportion,score=0.853341316895822
emailing,score=0.853341316895822
#abouttime,score=0.853341316895822
mosque,score=0.853341316895822
pak,score=0.853341316895822
digits,score=0.853341316895822
#toolong,score=0.853341316895822
needle,score=0.853341316895822
reactions,score=0.853341316895822
residents,score=0.853341316895822
occupy,score=0.853341316895822
impending,score=0.853341316895822
psu,score=0.853341316895822
rodeo,score=0.853341316895822
#allnighter,score=0.853341316895822
#risk,score=0.853341316895822
subconscious,score=0.853341316895822
overwhelming,score=0.853341316895822
crowded,score=0.853341316895822
minority,score=0.853341316895822
evidence,score=0.853341316895822
closer,score=0.853341316895822
tomarrow,score=0.853341316895822
ghosts,score=0.853341316895822
declined,score=0.853341316895822
gaining,score=0.853341316895822
shitter,score=0.853341316895822
softball,score=0.846951518797051
waitin,score=0.842978529860276
tattoo,score=0.841590300360303
ahhhh,score=0.839918296563681
prepared,score=0.838526231110681
tunnel,score=0.838303439531282
#shit,score=0.838073844765034
#pll,score=0.834992178227626
soldier,score=0.833923231038721
storms,score=0.832722029693087
cue,score=0.829810819485628
appt,score=0.828949863771663
clinic,score=0.828023508911532
shat,score=0.823488353746141
marine,score=0.823488353746141
#whattodo,score=0.823488353746141
freaks,score=0.823488353746141
gcse,score=0.823488353746141
toll,score=0.823488353746141
rise,score=0.822379091291855
roller,score=0.821592618581242
sleepless,score=0.821338585809648
tuition,score=0.820551494072831
creates,score=0.816973672724947
#torture,score=0.816973672724947
bby,score=0.816973672724947
shotgun,score=0.816973672724947
arghh,score=0.816973672724947
email,score=0.816807573563366
therapy,score=0.816300045215473
professors,score=0.814425900646149
shelves,score=0.812519322375567
boiler,score=0.812519322375567
lanes,score=0.812519322375567
pageant,score=0.812519322375567
#theworst,score=0.812519322375567
breathe,score=0.81002244217698
nine,score=0.809856204956083
awaiting,score=0.809856204956083
til,score=0.809005503075771
placement,score=0.808889554324988
6%,score=0.806821301260929
steering,score=0.806821301260929
#hurricanesandy,score=0.806821301260929
reserve,score=0.806821301260929
lockdown,score=0.806821301260929
officers,score=0.806821301260929
monroe,score=0.806821301260929
nxt,score=0.806821301260929
urgent,score=0.806821301260929
refreshed,score=0.806821301260929
housemates,score=0.806821301260929
56,score=0.806821301260929
30th,score=0.806821301260929
wallet,score=0.805874779656898
arrives,score=0.80455115272639
#quote,score=0.803579807336758
argh,score=0.803330896321161
needless,score=0.803330896321161
landing,score=0.803330896321161
#finals,score=0.803330896321161
anticipating,score=0.803330896321161
ready,score=0.802199925787603
applying,score=0.801381577965111
failure,score=0.800498835521442
weeks,score=0.800250874995487
ensemble,score=0.799274095625547
#toomuch,score=0.799274095625547
#winterbreak,score=0.799274095625547
illusion,score=0.799274095625547
filing,score=0.799274095625547
snowflake,score=0.799274095625547
eyeball,score=0.799274095625547
2005,score=0.799274095625547
announces,score=0.799274095625547
leavin,score=0.799274095625547
zip,score=0.799274095625547
lash,score=0.799274095625547
temporarily,score=0.799274095625547
uconn,score=0.799274095625547
weds,score=0.799274095625547
#stressedout,score=0.799274095625547
undergrad,score=0.799274095625547
bugging,score=0.799274095625547
#challenge,score=0.799274095625547
lennon,score=0.799274095625547
lenses,score=0.799274095625547
propose,score=0.799274095625547
testosterone,score=0.799274095625547
tats,score=0.799274095625547
final,score=0.797771465741011
march,score=0.79712817205527
impatient,score=0.79698838034469
letter,score=0.795817472757636
supported,score=0.794500816872889
luggage,score=0.794500816872889
costco,score=0.794500816872889
tracking,score=0.794500816872889
islam,score=0.788802795758251
sooner,score=0.788802795758251
tense,score=0.788802795758251
suitcase,score=0.788802795758251
#bittersweet,score=0.788802795758251
#courage,score=0.786202014058194
dangerous,score=0.785518720557061
#saveme,score=0.781882352913677
3pm,score=0.781882352913677
tues,score=0.781882352913677
3000,score=0.781882352913677
veins,score=0.781882352913677
daycare,score=0.781882352913677
posted,score=0.780434546087734
reese,score=0.7792333447421
hospitals,score=0.7792333447421
runnin,score=0.7792333447421
#decisions,score=0.777833764387677
begins,score=0.777581271014287
injured,score=0.775632332568506
realised,score=0.775307314283367
acceptance,score=0.775089119996074
cities,score=0.773298609222286
sobbing,score=0.773298609222286
#wishfulthinking,score=0.773298609222286
bathing,score=0.773298609222286
troops,score=0.773298609222286
mayan,score=0.773298609222286
mice,score=0.773298609222286
anticipated,score=0.773298609222286
registered,score=0.773298609222286
whens,score=0.773298609222286
motorcycle,score=0.773298609222286
tommorrow,score=0.773298609222286
strikes,score=0.773298609222286
#exhausted,score=0.77151129864819
asap,score=0.770649601050709
sane,score=0.768183508555515
prom,score=0.766726844059051
challenges,score=0.766329939906192
labor,score=0.766329939906192
#iphone5,score=0.766329939906192
sd,score=0.762369538690095
drills,score=0.762369538690095
completing,score=0.762369538690095
determines,score=0.762369538690095
draws,score=0.762369538690095
modeling,score=0.762369538690095
practise,score=0.762369538690095
630,score=0.762369538690095
constitution,score=0.762369538690095
diploma,score=0.762369538690095
awks,score=0.762369538690095
1500,score=0.762369538690095
baseball,score=0.762369538690095
snowstorm,score=0.762369538690095
#ignorance,score=0.762369538690095
feb,score=0.761226027988017
tomorrow,score=0.760418453558755
#halloween,score=0.759815258884999
arriving,score=0.759815258884999
bound,score=0.758676090354744
collapse,score=0.758031137091497
spilling,score=0.758031137091497
developed,score=0.758031137091497
#america,score=0.755702847331906
internal,score=0.755702847331906
hid,score=0.755702847331906
chaos,score=0.754250414251591
potentially,score=0.75325785833884
relax,score=0.752338106606952
april,score=0.750483931456114
trinity,score=0.747980801237996
inhale,score=0.747980801237996
#merp,score=0.747980801237996
#finalsweek,score=0.747980801237996
#bummed,score=0.747980801237996
overdue,score=0.747980801237996
29th,score=0.747980801237996
roaches,score=0.747980801237996
sensation,score=0.747980801237996
#confusion,score=0.747980801237996
intern,score=0.747980801237996
drawn,score=0.747980801237996
itd,score=0.747980801237996
tp,score=0.747980801237996
tel,score=0.747980801237996
omgggg,score=0.747980801237996
#collegeproblems,score=0.747980801237996
regretting,score=0.747980801237996
nj,score=0.747980801237996
530,score=0.747980801237996
woooo,score=0.747980801237996
prevents,score=0.747980801237996
#brave,score=0.747980801237996
bloom,score=0.747980801237996
#thrilled,score=0.747980801237996
bueno,score=0.747980801237996
december,score=0.746095786542225
wait,score=0.744867780994987
outcome,score=0.74414202493083
tat,score=0.742993259726957
tornado,score=0.742115681785598
vet,score=0.742115681785598
avoiding,score=0.742115681785598
due,score=0.741694296475175
#worst,score=0.740863333469132
visa,score=0.740863333469132
realising,score=0.739506174247024
2pm,score=0.738930965718078
handing,score=0.738930965718078
doom,score=0.738930965718078
doctor,score=0.736681245984063
stocking,score=0.735558281239439
snowboard,score=0.735558281239439
fedex,score=0.735558281239439
paperwork,score=0.735558281239439
border,score=0.735558281239439
struck,score=0.735558281239439
#dexter,score=0.735558281239439
dj,score=0.734735574487975
sorted,score=0.733796166246039
quizzes,score=0.732713329107208
voicemail,score=0.732713329107208
heights,score=0.732713329107208
continually,score=0.732713329107208
timetable,score=0.732713329107208
formal,score=0.73073899480349
dreamed,score=0.728178173941816
nye,score=0.728178173941816
4pm,score=0.728178173941816
boarding,score=0.724723939073729
packing,score=0.723701668082914
tix,score=0.723288188647624
exposed,score=0.723288188647624
concerned,score=0.721413773853274
grade,score=0.720365634205022
marked,score=0.7198099242713
#feelsick,score=0.7198099242713
plants,score=0.7198099242713
passengers,score=0.7198099242713
#homesick,score=0.7198099242713
fires,score=0.7198099242713
safely,score=0.7198099242713
begun,score=0.7198099242713
tomoro,score=0.7198099242713
flake,score=0.7198099242713
tmw,score=0.7198099242713
#test,score=0.7198099242713
collected,score=0.7198099242713
pills,score=0.7198099242713
#sleepdeprived,score=0.7198099242713
mayday,score=0.7198099242713
muslims,score=0.7198099242713
homeland,score=0.7198099242713
costume,score=0.718863402667269
confirmation,score=0.717209142571242
nuclear,score=0.715190978415005
agency,score=0.715190978415005
backup,score=0.715190978415005
arrest,score=0.715190978415005
nationals,score=0.715190978415005
omggg,score=0.715190978415005
avoided,score=0.715190978415005
tips,score=0.714079249562314
till,score=0.713087574332946
ceremony,score=0.712262718635917
supervisor,score=0.712262718635917
polls,score=0.712262718635917
relaxation,score=0.712262718635917
flying,score=0.711751862941537
survive,score=0.710841254288539
#autism,score=0.710240473255149
fort,score=0.710240473255149
counting,score=0.709023557984803
fri,score=0.708760088084714
cleared,score=0.708760088084714
1%,score=0.707629505714428
slight,score=0.706737842703947
tension,score=0.706737842703947
#holyshit,score=0.7054211868192
midterms,score=0.7054211868192
4am,score=0.7054211868192
horror,score=0.704772046906759
presents,score=0.703685026656403
exams,score=0.702342231230909
packed,score=0.701047647815777
71,score=0.699190637068564
#gossipgirl,score=0.699190637068564
trigger,score=0.699190637068564
freddy,score=0.699190637068564
downer,score=0.699190637068564
dizzy,score=0.699190637068564
telephone,score=0.699190637068564
#optimistic,score=0.699190637068564
recommendation,score=0.699190637068564
batteries,score=0.699190637068564
#guns,score=0.699190637068564
mail,score=0.699190637068564
preview,score=0.699190637068564
dilemma,score=0.699190637068564
20mins,score=0.699190637068564
med,score=0.699190637068564
destroys,score=0.699190637068564
breathing,score=0.699190637068564
notch,score=0.699190637068564
demo,score=0.699190637068564
vibrates,score=0.699190637068564
intimidating,score=0.699190637068564
themed,score=0.699190637068564
sorority,score=0.699190637068564
#fight,score=0.699190637068564
tbf,score=0.699190637068564
attacking,score=0.699190637068564
twas,score=0.699190637068564
askin,score=0.699190637068564
brave,score=0.699190637068564
liver,score=0.699190637068564
#inpain,score=0.699190637068564
arab,score=0.699190637068564
diego,score=0.699190637068564
penn,score=0.699190637068564
#nothing,score=0.699190637068564
competition,score=0.693336961817103
wednesday,score=0.691917877739484
lightning,score=0.690822387398047
#for,score=0.68971189311402
tennessee,score=0.68971189311402
booze,score=0.688261566536374
tower,score=0.688261566536374
gawd,score=0.686287232232656
#emotions,score=0.686287232232656
dye,score=0.686287232232656
memorize,score=0.683442280100425
#guilt,score=0.683442280100425
screens,score=0.683442280100425
showcase,score=0.683442280100425
asthma,score=0.683442280100425
#cringe,score=0.683442280100425
petrol,score=0.681491059969163
releasing,score=0.681491059969163
al,score=0.680728574228828
confident,score=0.680322152764181
#fiscalcliff,score=0.678987929751044
dodgy,score=0.678987929751044
#psychology,score=0.678987929751044
lilly,score=0.678987929751044
visual,score=0.678987929751044
bid,score=0.678987929751044
#exciting,score=0.678987929751044
engine,score=0.678987929751044
shook,score=0.678987929751044
#calmdown,score=0.678987929751044
announce,score=0.677776542564747
emotions,score=0.677632915993585
recover,score=0.67566013965837
tomorow,score=0.67566013965837
rushed,score=0.67566013965837
fingers,score=0.67446210429284
va,score=0.674293085446837
luck,score=0.673872829084274
longest,score=0.673079493064878
flames,score=0.671019760101868
#vacation,score=0.671019760101868
determine,score=0.671019760101868
denver,score=0.671019760101868
sources,score=0.671019760101868
endure,score=0.671019760101868
16th,score=0.671019760101868
caffeine,score=0.671019760101868
announcement,score=0.671019760101868
dates,score=0.669558839462193
charger,score=0.668245833219142
refresh,score=0.667938093564459
snake,score=0.66675536131541
commitment,score=0.66675536131541
doctors,score=0.665742703001024
perform,score=0.665031718257245
healed,score=0.664099317257294
diss,score=0.664099317257294
fate,score=0.664099317257294
uh,score=0.664099317257294
react,score=0.662822992897689
#nra,score=0.660969424248366
importantly,score=0.660969424248366
occupied,score=0.660969424248366
#tomorrow,score=0.659185302454865
nearly,score=0.659185302454865
10pm,score=0.658032564575056
ski,score=0.656631022649768
declared,score=0.652670621433671
#baseball,score=0.652670621433671
unaware,score=0.652670621433671
goto,score=0.652670621433671
#uncomfortable,score=0.652670621433671
letterman,score=0.652670621433671
competing,score=0.652670621433671
login,score=0.652670621433671
spotless,score=0.652670621433671
ooooh,score=0.652670621433671
defence,score=0.652670621433671
testing,score=0.652670621433671
scheduling,score=0.652670621433671
hanger,score=0.652670621433671
alley,score=0.652670621433671
#excitement,score=0.652670621433671
wooden,score=0.652670621433671
ahh,score=0.652670621433671
mortgage,score=0.652670621433671
stranded,score=0.652670621433671
#mess,score=0.652670621433671
peacefully,score=0.652670621433671
pints,score=0.652670621433671
convincing,score=0.652670621433671
forces,score=0.652670621433671
barrier,score=0.652670621433671
stitch,score=0.652670621433671
spring,score=0.65034233167408
inches,score=0.6494291275095
worry,score=0.649040853383092
fired,score=0.647897342681013
#failure,score=0.647004883897994
tablets,score=0.645701952117578
threatening,score=0.643620785913753
#power,score=0.643620785913753
everton,score=0.643620785913753
tactics,score=0.643620785913753
grading,score=0.643620785913753
intense,score=0.643217478789916
pains,score=0.64262028558017
police,score=0.642518249969653
possibility,score=0.642032223228615
pierced,score=0.642032223228615
semester,score=0.641793559742996
shopping,score=0.641453083813575
theft,score=0.639767216597763
recovering,score=0.639767216597763
tide,score=0.639767216597763
buckle,score=0.639767216597763
organise,score=0.639767216597763
badge,score=0.639767216597763
coma,score=0.639767216597763
#missit,score=0.639767216597763
fabric,score=0.639767216597763
#comeback,score=0.639767216597763
decade,score=0.639767216597763
sneaking,score=0.639767216597763
bouta,score=0.639767216597763
#nye,score=0.639767216597763
sleeves,score=0.639767216597763
hittin,score=0.639767216597763
cram,score=0.639767216597763
flights,score=0.637632744069131
supermarket,score=0.636276811657995
fastest,score=0.636276811657995
sharks,score=0.636276811657995
#egypt,score=0.636276811657995
pm,score=0.635768810631068
unit,score=0.635339165082031
test,score=0.635237767485067
lies,score=0.635020372241544
#confessionnight,score=0.634652115930993
#firsttime,score=0.630197765581612
trucks,score=0.630197765581612
suggestions,score=0.630197765581612
anxiously,score=0.630197765581612
accepted,score=0.630197765581612
ditto,score=0.630197765581612
gown,score=0.630197765581612
disappeared,score=0.630197765581612
destruction,score=0.630197765581612
skunk,score=0.630197765581612
wayy,score=0.630197765581612
largest,score=0.630197765581612
wrestle,score=0.630197765581612
airport,score=0.627144328094722
activity,score=0.625763168513747
hectic,score=0.625082664914842
bride,score=0.625082664914842
mini,score=0.624591022820377
clemson,score=0.62281765828399
vulnerable,score=0.62281765828399
lands,score=0.62281765828399
alien,score=0.62281765828399
already,score=0.621579236733876
pll,score=0.621539702838498
stomach,score=0.620858793798657
disaster,score=0.620719021627069
starts,score=0.620317656981905
55,score=0.619726465714317
thursday,score=0.618581645898384
approximately,score=0.616952538831592
darkness,score=0.616952538831592
seed,score=0.616952538831592
#study,score=0.616952538831592
hope,score=0.616094234686809
technically,score=0.613668463630402
courage,score=0.612806022869743
illness,score=0.610779679724511
prep,score=0.610111007014875
edge,score=0.609039540074266
hopeful,score=0.608218858862837
01,score=0.608218858862837
radiator,score=0.608218858862837
cement,score=0.608218858862837
hail,score=0.608218858862837
asdfghjkl,score=0.608218858862837
uncertain,score=0.608218858862837
#canthelpit,score=0.608218858862837
#buzzing,score=0.608218858862837
#horrified,score=0.608218858862837
murderer,score=0.608218858862837
peel,score=0.608218858862837
asylum,score=0.608218858862837
cave,score=0.608218858862837
slopes,score=0.608218858862837
directioners,score=0.608218858862837
appointments,score=0.608218858862837
consuming,score=0.608218858862837
gnna,score=0.608218858862837
doc,score=0.606817316937549
#tcot,score=0.605933143581981
15th,score=0.604879957597323
#2012,score=0.604879957597323
present,score=0.60431139887832
exit,score=0.603880457264239
handle,score=0.603529518499451
noon,score=0.603399572426888
faint,score=0.602026888614916
edited,score=0.602026888614916
mare,score=0.602026888614916
consistent,score=0.602026888614916
gallon,score=0.602026888614916
nursery,score=0.602026888614916
24th,score=0.602026888614916
instructions,score=0.602026888614916
#notgood,score=0.602026888614916
license,score=0.601165932900951
2000,score=0.599560796119723
tournament,score=0.599107178511581
sheet,score=0.598811451760942
bridge,score=0.598235414878654
deprived,score=0.597407942758622
jungle,score=0.597407942758622
conditioning,score=0.597407942758622
reserved,score=0.597407942758622
#wakeup,score=0.597407942758622
wala,score=0.597407942758622
beta,score=0.597407942758622
reported,score=0.595512207593722
gna,score=0.595512207593722
unsure,score=0.593830121410738
hen,score=0.593830121410738
#mixedemotions,score=0.593830121410738
hurricane,score=0.593830121410738
2%,score=0.593830121410738
#business,score=0.593830121410738
#relief,score=0.593830121410738
until,score=0.591668854600509
storm,score=0.590977052428331
levels,score=0.590977052428331
accidently,score=0.590977052428331
spike,score=0.590977052428331
stopping,score=0.58864876266874
arrived,score=0.58823356648258
bleeding,score=0.587638151162816
decisions,score=0.587073338947858
#believeacoustic,score=0.586712653641874
practical,score=0.585077330301143
measure,score=0.585077330301143
whether,score=0.583896831993822
worries,score=0.58367774994672
#blackfriday,score=0.58367774994672
desperately,score=0.580474330229182
dose,score=0.580474330229182
schedule,score=0.580329434191835
36,score=0.579645486418781
gut,score=0.578904471194062
stalking,score=0.577635435490757
instant,score=0.577635435490757
elevator,score=0.576130544311337
#the,score=0.575511540887053
#omg,score=0.574736462595158
june,score=0.572827733922654
hiding,score=0.571230289493497
dress,score=0.567966050541956
safe,score=0.567396864342582
xmas,score=0.567004234559374
bombs,score=0.565659244444041
expose,score=0.565659244444041
mailbox,score=0.565659244444041
00am,score=0.565659244444041
19th,score=0.565659244444041
replacing,score=0.565659244444041
port,score=0.565659244444041
slipped,score=0.565659244444041
blu,score=0.565659244444041
transit,score=0.565659244444041
baltimore,score=0.565659244444041
pigeon,score=0.565659244444041
printed,score=0.565659244444041
striker,score=0.565659244444041
multi,score=0.565659244444041
palace,score=0.565659244444041
27th,score=0.565659244444041
crawled,score=0.565659244444041
ra,score=0.565659244444041
5%,score=0.565659244444041
careful,score=0.565659244444041
firework,score=0.565659244444041
outs,score=0.565659244444041
emerson,score=0.565659244444041
hyped,score=0.565659244444041
future,score=0.565659244444041
#scandal,score=0.565659244444041
weigh,score=0.565659244444041
tampa,score=0.565659244444041
ut,score=0.565659244444041
cambridge,score=0.565659244444041
berlin,score=0.565659244444041
accidents,score=0.565659244444041
#secondaryschoolmemories,score=0.565659244444041
gps,score=0.565659244444041
fragile,score=0.565659244444041
groceries,score=0.565659244444041
tri,score=0.565659244444041
demons,score=0.565659244444041
mere,score=0.565659244444041
abandon,score=0.565659244444041
swinging,score=0.565659244444041
flu,score=0.565659244444041
immediate,score=0.565659244444041
7pm,score=0.565659244444041
uncomfortable,score=0.565659244444041
reunited,score=0.565659244444041
#at,score=0.565659244444041
stove,score=0.565659244444041
amsterdam,score=0.565659244444041
economic,score=0.565659244444041
slowest,score=0.565659244444041
timer,score=0.565659244444041
chainsaw,score=0.565659244444041
curtain,score=0.565659244444041
lily,score=0.565659244444041
visitors,score=0.565659244444041
owns,score=0.565659244444041
flys,score=0.565659244444041
minute,score=0.563310906769934
driving,score=0.561934845353059
roads,score=0.560863072180548
wedding,score=0.558473584783167
ceiling,score=0.557627072746777
letters,score=0.556442589339117
fly,score=0.556089793427891
tests,score=0.555575125377415
protect,score=0.554848328339826
released,score=0.553824786797038
dunno,score=0.553236724445484
freaking,score=0.551566870304333
slower,score=0.550155057908076
unknown,score=0.549129942492831
stronger,score=0.548564811084741
*sigh*,score=0.546611049473347
dec,score=0.546611049473347
cockroach,score=0.546611049473347
lineup,score=0.546611049473347
decorate,score=0.545039957241305
rush,score=0.54433647497522
mt,score=0.543186388591983
melt,score=0.543186388591983
23,score=0.541561692864981
speech,score=0.541402266798481
battery,score=0.541186387925316
14th,score=0.54096663185367
entering,score=0.54096663185367
situations,score=0.54096663185367
lololol,score=0.54096663185367
#dream,score=0.538260270255927
circles,score=0.538260270255927
releases,score=0.538260270255927
traveling,score=0.538260270255927
topics,score=0.538260270255927
northern,score=0.538260270255927
#confession,score=0.538260270255927
piercing,score=0.537221309123508
gpa,score=0.536671707570789
choked,score=0.534887585777288
#hyper,score=0.534887585777288
competitive,score=0.534887585777288
nash,score=0.534887585777288
awk,score=0.534887585777288
o_o,score=0.534887585777288
reckless,score=0.534887585777288
binge,score=0.534887585777288
#imaceleb,score=0.534887585777288
indoor,score=0.53286942162105
21st,score=0.532433596815721
route,score=0.53175769276836
false,score=0.53175769276836
fast,score=0.531231274574177
#49ers,score=0.530567924632771
coping,score=0.530567924632771
pharmacy,score=0.530567924632771
realistic,score=0.530567924632771
yayyy,score=0.530567924632771
gr8,score=0.530567924632771
pg,score=0.530567924632771
#soclose,score=0.530567924632771
suffer,score=0.530567924632771
#p2,score=0.530567924632771
schedules,score=0.530567924632771
germs,score=0.530567924632771
booked,score=0.529727235217978
calm,score=0.528176151189301
approach,score=0.527918916461194
shops,score=0.52643853129076
rumble,score=0.524837249923786
destined,score=0.524837249923786
rushing,score=0.524837249923786
agrees,score=0.524837249923786
suprise,score=0.524837249923786
outfits,score=0.524837249923786
underwater,score=0.524837249923786
panto,score=0.524837249923786
uncertainty,score=0.524837249923786
av,score=0.524837249923786
resolved,score=0.524837249923786
guards,score=0.524837249923786
shadows,score=0.524837249923786
nov,score=0.524837249923786
nottingham,score=0.524837249923786
isaiah,score=0.524837249923786
wounds,score=0.524837249923786
boards,score=0.524837249923786
wether,score=0.524837249923786
62,score=0.524837249923786
convention,score=0.524837249923786
folded,score=0.524837249923786
shiz,score=0.524837249923786
30mins,score=0.524837249923786
jury,score=0.524837249923786
brace,score=0.522487072578833
ideas,score=0.522174132504302
9th,score=0.521207481873208
security,score=0.518031195454787
#can,score=0.516869080274609
toooo,score=0.516869080274609
activities,score=0.516869080274609
spine,score=0.516869080274609
24,score=0.515845538731822
nephew,score=0.515469499920186
driven,score=0.513473491273471
massacre,score=0.513473491273471
stores,score=0.513473491273471
pre,score=0.512736842989699
pressing,score=0.511592023173766
meow,score=0.511592023173766
bae,score=0.511592023173766
weapons,score=0.511592023173766
crash,score=0.511592023173766
forgotten,score=0.510599467261014
48,score=0.510396565768992
tick,score=0.509569777792998
deer,score=0.509147034180699
accidentally,score=0.505940009742419
texans,score=0.505034622627606
supply,score=0.505034622627606
gel,score=0.505034622627606
tmr,score=0.505034622627606
participating,score=0.505034622627606
officials,score=0.505034622627606
includes,score=0.505034622627606
wink,score=0.505034622627606
todd,score=0.505034622627606
lump,score=0.505034622627606
ordinary,score=0.505034622627606
tripping,score=0.505034622627606
clicked,score=0.505034622627606
snowball,score=0.505034622627606
gahh,score=0.505034622627606
began,score=0.505034622627606
overtime,score=0.50112072330647
dragging,score=0.50112072330647
confidence,score=0.50051994227308
ay,score=0.499701276652244
relief,score=0.499701276652244
sweetie,score=0.499701276652244
warning,score=0.499701276652244
relaxed,score=0.498519941606413
apocalypse,score=0.498000595970226
#meh,score=0.49666637295709
stash,score=0.49666637295709
#cheer,score=0.49666637295709
qualified,score=0.49666637295709
kent,score=0.49666637295709
beware,score=0.49666637295709
turkish,score=0.49666637295709
safety,score=0.49666637295709
w/out,score=0.49666637295709
soon,score=0.494293380796194
suicide,score=0.493967315987925
month,score=0.493405604747085
surface,score=0.493338582864415
rescue,score=0.493338582864415
lax,score=0.493338582864415
rumour,score=0.493338582864415
relieved,score=0.493338582864415
exploded,score=0.493338582864415
rear,score=0.493338582864415
tight,score=0.491915770198492
#lakers,score=0.491551272290319
severe,score=0.491551272290319
physical,score=0.490935698248105
rang,score=0.490435823206454
18th,score=0.490435823206454
insomnia,score=0.489673337466119
days,score=0.488721526651082
checked,score=0.486819182736265
identify,score=0.485616536770505
seeds,score=0.485616536770505
positively,score=0.485616536770505
nest,score=0.485616536770505
stil,score=0.485616536770505
#homeland,score=0.485616536770505
stared,score=0.485616536770505
monologue,score=0.485616536770505
beanie,score=0.485616536770505
#believetour,score=0.485616536770505
confession,score=0.485616536770505
#determination,score=0.485616536770505
scheme,score=0.485616536770505
anddd,score=0.485616536770505
offers,score=0.485616536770505
infected,score=0.485616536770505
captured,score=0.485616536770505
thugs,score=0.485616536770505
tractor,score=0.485616536770505
oxford,score=0.485616536770505
confirm,score=0.485616536770505
jammed,score=0.485616536770505
cubicle,score=0.485616536770505
loneliness,score=0.485616536770505
heather,score=0.485616536770505
#roadtrip,score=0.485616536770505
doorbell,score=0.485616536770505
nearby,score=0.485616536770505
itching,score=0.485616536770505
postman,score=0.485616536770505
finals,score=0.484243852958533
purse,score=0.483215575232967
messy,score=0.482662324873073
mentally,score=0.480666031610649
37,score=0.480137071005879
emails,score=0.47982780859426
expectations,score=0.479481548202989
sorta,score=0.478647867454412
forms,score=0.478647867454412
#thoughts,score=0.478647867454412
germany,score=0.478647867454412
store,score=0.477908495886533
midterm,score=0.477290093993951
bomb,score=0.476607466828139
#killme,score=0.476047085754354
facing,score=0.476047085754354
injuries,score=0.476047085754354
develop,score=0.476047085754354
choking,score=0.476047085754354
bugger,score=0.476047085754354
writes,score=0.476047085754354
derby,score=0.476047085754354
bees,score=0.476047085754354
#election2012,score=0.476047085754354
tickets,score=0.475275182975772
roof,score=0.474687466238315
risk,score=0.473851695190918
february,score=0.473135875546896
34,score=0.472877510993075
havnt,score=0.472877510993075
#headache,score=0.472327304651822
envy,score=0.470349064639716
leak,score=0.470349064639716
remaining,score=0.470349064639716
approved,score=0.470349064639716
cast,score=0.470349064639716
drowning,score=0.470349064639716
conflict,score=0.470349064639716
stoked,score=0.468285080418865
package,score=0.467916959671104
preparing,score=0.465959884220953
patience,score=0.464563127572672
authority,score=0.463876550134099
butterfly,score=0.463876550134099
outage,score=0.463876550134099
indoors,score=0.463876550134099
brief,score=0.463876550134099
ultra,score=0.463876550134099
worms,score=0.463876550134099
apt,score=0.463876550134099
installed,score=0.463876550134099
capacity,score=0.463876550134099
lizard,score=0.463876550134099
realizes,score=0.463876550134099
#fuck,score=0.463501526690739
beating,score=0.463380395323623
left,score=0.463095367905327
nerve,score=0.463005090383958
dying,score=0.462914086152198
haircut,score=0.462801859004334
#snow,score=0.462118565503201
shark,score=0.461862450762398
leads,score=0.461862450762398
playoff,score=0.461862450762398
